Num.of.Individuals,Num.of.Markers,Type,accuracy,SD,Comparison,
30,100,T,1,0,PUR_CLM,
40,10,T,0.9,0,PUR_CLM,
40,20,T,0.9375,0,PUR_CLM,
40,30,T,0.95,0,PUR_CLM,
40,40,T,0.9875,0,PUR_CLM,
40,50,T,0.9875,0,PUR_CLM,
40,60,T,0.9875,0,PUR_CLM,
40,70,T,1,0,PUR_CLM,
40,80,T,0.9875,0,PUR_CLM,
40,90,T,1,0,PUR_CLM,
40,100,T,1,0,PUR_CLM,
50,10,T,0.89,0,PUR_CLM,
50,20,T,0.92,0,PUR_CLM,
50,30,T,0.95,0,PUR_CLM,
50,40,T,0.99,0,PUR_CLM,
50,50,T,0.98,0,PUR_CLM,
50,60,T,0.99,0,PUR_CLM,
50,70,T,1,0,PUR_CLM,
50,80,T,0.99,0,PUR_CLM,
50,90,T,1,0,PUR_CLM,
50,100,T,1,0,PUR_CLM,
10,10,R,0.68,0.112857619,PUR_CLM,
10,20,R,0.7175,0.087772133,PUR_CLM,
10,30,R,0.7325,0.101663791,PUR_CLM,
10,40,R,0.755,0.115735633,PUR_CLM,
10,50,R,0.77,0.092338052,PUR_CLM,
10,60,R,0.785,0.082875938,PUR_CLM,
10,70,R,0.8,0.084292723,PUR_CLM,
10,80,R,0.8325,0.073044687,PUR_CLM,
10,90,R,0.8425,0.071220562,PUR_CLM,
10,100,R,0.8375,0.066639249,PUR_CLM,
20,10,R,0.65375,0.081626154,PUR_CLM,
20,20,R,0.69875,0.067118807,PUR_CLM,
20,30,R,0.72,0.07281917,PUR_CLM,
20,40,R,0.73625,0.066626907,PUR_CLM,
20,50,R,0.7575,0.055665826,PUR_CLM,
20,60,R,0.78,0.056545278,PUR_CLM,
20,70,R,0.79125,0.056936599,PUR_CLM,
20,80,R,0.82,0.057697031,PUR_CLM,
20,90,R,0.8375,0.054107593,PUR_CLM,
20,100,R,0.845,0.051041779,PUR_CLM,
30,10,R,0.640833333,0.062472216,PUR_CLM,
30,20,R,0.685,0.059210201,PUR_CLM,
30,30,R,0.7275,0.061243212,PUR_CLM,
30,40,R,0.738333333,0.063545351,PUR_CLM,
30,50,R,0.761666667,0.045914999,PUR_CLM,
30,60,R,0.7825,0.049107532,PUR_CLM,
30,70,R,0.783333333,0.0455634,PUR_CLM,
30,80,R,0.8125,0.041136984,PUR_CLM,
30,90,R,0.8325,0.040636385,PUR_CLM,
30,100,R,0.834166667,0.040275005,PUR_CLM,
40,10,R,0.63875,0.046576903,PUR_CLM,
40,20,R,0.680625,0.051852999,PUR_CLM,
40,30,R,0.7225,0.043792273,PUR_CLM,
40,40,R,0.741875,0.054603083,PUR_CLM,
40,50,R,0.765625,0.036017859,PUR_CLM,
40,60,R,0.7925,0.033785313,PUR_CLM,
40,70,R,0.794375,0.032310938,PUR_CLM,
40,80,R,0.816875,0.02605504,PUR_CLM,
40,90,R,0.84,0.027386128,PUR_CLM,
40,100,R,0.83875,0.030859401,PUR_CLM,
50,10,R,0.628,0.03349784,PUR_CLM,
50,20,R,0.6695,0.038178942,PUR_CLM,
50,30,R,0.715,0.039536792,PUR_CLM,
50,40,R,0.738,0.053173005,PUR_CLM,
50,50,R,0.7605,0.03300319,PUR_CLM,
50,60,R,0.7885,0.034984959,PUR_CLM,
50,70,R,0.797,0.033261326,PUR_CLM,
50,80,R,0.815,0.029647047,PUR_CLM,
50,90,R,0.837,0.032134585,PUR_CLM,
50,100,R,0.836,0.031522757,PUR_CLM,
10,10,T,1,0,PUR_LWK,
10,20,T,1,0,PUR_LWK,
10,30,T,1,0,PUR_LWK,
10,40,T,1,0,PUR_LWK,
10,50,T,1,0,PUR_LWK,
10,60,T,1,0,PUR_LWK,
10,70,T,1,0,PUR_LWK,
10,80,T,1,0,PUR_LWK,
10,90,T,1,0,PUR_LWK,
10,100,T,1,0,PUR_LWK,
20,10,T,0.975,0,PUR_LWK,
20,20,T,1,0,PUR_LWK,
20,30,T,1,0,PUR_LWK,
20,40,T,1,0,PUR_LWK,
20,50,T,1,0,PUR_LWK,
20,60,T,1,0,PUR_LWK,
20,70,T,1,0,PUR_LWK,
20,80,T,1,0,PUR_LWK,
20,90,T,1,0,PUR_LWK,
20,100,T,1,0,PUR_LWK,
30,10,T,0.983333333,0,PUR_LWK,
30,20,T,1,0,PUR_LWK,
30,30,T,1,0,PUR_LWK,
30,40,T,1,0,PUR_LWK,
30,50,T,1,0,PUR_LWK,
30,60,T,1,0,PUR_LWK,
30,70,T,1,0,PUR_LWK,
30,80,T,1,0,PUR_LWK,
30,90,T,1,0,PUR_LWK,
30,100,T,1,0,PUR_LWK,
