"Num.of.Individuals","Num.of.Markers","Type","Replicate 1","Replicate 2","Replicate 3","Replicate 4","Replicate 5","Replicate 6","Replicate 7","Replicate 8","Replicate 9","Replicate 10","Replicate 11","Replicate 12","Replicate 13","Replicate 14","Replicate 15","Replicate 16","Replicate 17","Replicate 18","Replicate 19","Replicate 20"
40,70,"R",0.7875,0.85,0.75,0.8125,0.7875,0.8125,0.7625,0.75,0.8625,0.8125,0.75,0.775,0.7875,0.825,0.775,0.775,0.7875,0.8,0.7875,0.8375
40,80,"R",0.825,0.8375,0.7375,0.825,0.7875,0.825,0.8,0.8,0.8375,0.8375,0.825,0.8375,0.8125,0.8,0.8375,0.825,0.8125,0.8,0.8125,0.8625
40,90,"R",0.8875,0.85,0.8375,0.8625,0.7875,0.8375,0.8125,0.8125,0.8625,0.8125,0.8,0.875,0.8375,0.8125,0.8625,0.85,0.85,0.875,0.825,0.85
40,100,"R",0.85,0.8125,0.7875,0.9125,0.825,0.8625,0.825,0.8125,0.8875,0.8375,0.8,0.85,0.825,0.825,0.825,0.825,0.825,0.85,0.85,0.8875
50,10,"R",0.64,0.58,0.59,0.57,0.64,0.64,0.61,0.65,0.67,0.61,0.62,0.7,0.61,0.64,0.66,0.67,0.6,0.61,0.6,0.65
50,20,"R",0.73,0.66,0.67,0.69,0.62,0.61,0.67,0.62,0.68,0.66,0.67,0.67,0.65,0.67,0.71,0.7,0.64,0.69,0.62,0.76
50,30,"R",0.77,0.75,0.71,0.76,0.65,0.74,0.71,0.68,0.72,0.69,0.66,0.74,0.67,0.75,0.77,0.68,0.68,0.72,0.68,0.77
50,40,"R",0.76,0.78,0.79,0.81,0.72,0.74,0.71,0.72,0.76,0.65,0.64,0.75,0.73,0.8,0.77,0.71,0.66,0.77,0.67,0.82
50,50,"R",0.77,0.76,0.75,0.77,0.73,0.79,0.75,0.78,0.8,0.73,0.7,0.78,0.76,0.82,0.8,0.69,0.73,0.77,0.75,0.78
50,60,"R",0.81,0.8,0.79,0.82,0.76,0.8,0.76,0.78,0.78,0.76,0.69,0.81,0.83,0.85,0.79,0.77,0.75,0.82,0.81,0.79
50,70,"R",0.79,0.85,0.74,0.84,0.76,0.84,0.8,0.77,0.85,0.76,0.75,0.78,0.81,0.84,0.8,0.78,0.8,0.79,0.79,0.8
50,80,"R",0.82,0.84,0.74,0.85,0.76,0.85,0.82,0.82,0.82,0.78,0.8,0.83,0.81,0.82,0.85,0.83,0.8,0.79,0.83,0.84
50,90,"R",0.87,0.85,0.83,0.88,0.78,0.86,0.83,0.81,0.84,0.77,0.79,0.86,0.83,0.8,0.88,0.86,0.85,0.86,0.84,0.85
50,100,"R",0.85,0.82,0.79,0.91,0.79,0.88,0.85,0.81,0.86,0.78,0.81,0.84,0.83,0.83,0.84,0.83,0.84,0.84,0.85,0.87
