Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
20	90	R	0.8575	0.056253654852023	0.1425	0.04	89.701308548497
20	100	R	0.86125	0.0483102637019026	0.13875	0.04	100.017679682653
30	10	R	0.6125	0.0639524220080972	0.3875	0.04	10.0201582224574
30	20	R	0.651666666666667	0.0659833400911976	0.348333333333333	0.04	19.7237652143929
30	30	R	0.680833333333333	0.0695169212435453	0.319166666666667	0.04	30.0782541027758
30	40	R	0.713333333333333	0.0730697015632998	0.286666666666667	0.04	39.7327088868245
30	50	R	0.739166666666667	0.0570408184615214	0.260833333333333	0.04	50.198005682556
30	60	R	0.766666666666667	0.0584897651865602	0.233333333333333	0.04	59.8968094989192
30	70	R	0.815	0.0741225474925385	0.185	0.04	70.0777237622999
30	80	R	0.8475	0.0593027222435621	0.1525	0.04	79.8986325277947
30	90	R	0.8575	0.0560583968701311	0.1425	0.04	90.254847066896
30	100	R	0.859166666666667	0.0565775873629556	0.140833333333333	0.04	99.7193636776879
40	10	R	0.611875	0.0673115058202494	0.388125	0.04	9.87322842390276
40	20	R	0.65625	0.0688844379339317	0.34375	0.04	20.0805786738638
40	30	R	0.685	0.0571528421727306	0.315	0.04	30.0226607240271
40	40	R	0.725625	0.058133665171876	0.274375	0.04	39.9381412209943
40	50	R	0.75125	0.0511222734442167	0.24875	0.04	50.0240555774886
40	60	R	0.77125	0.0474861475645931	0.22875	0.04	60.0399887361098
40	70	R	0.818125	0.0574220008725796	0.181875	0.04	70.2797303645872
40	80	R	0.84875	0.046400005671506	0.15125	0.04	80.0447589409072
40	90	R	0.86	0.0491038105499595	0.14	0.04	90.2357603802346
40	100	R	0.86	0.0452696598757176	0.14	0.04	100.090169908805
50	10	R	0.6135	0.0661159268971833	0.3865	0.04	10.0939834876917
50	20	R	0.661	0.070180219135414	0.339	0.04	20.0206645533908
50	30	R	0.692	0.0549257872521019	0.308	0.04	29.8664291478228
50	40	R	0.7315	0.0591407776322511	0.2685	0.04	40.2541916139424
50	50	R	0.7585	0.0617529031919276	0.2415	0.04	49.8852405023761
50	60	R	0.78	0.0515037045167371	0.22	0.04	59.8476765273605
50	70	R	0.82	0.06249210476448	0.18	0.04	70.2318442737684
50	80	R	0.849	0.0535969362832184	0.151	0.04	79.7623268771451
50	90	R	0.8635	0.0549904297893829	0.1365	0.04	89.7636751529295
50	100	R	0.8665	0.0494469412603045	0.1335	0.04	99.8442218428478
10	10	T	0.7	0	0.3	0.05	10.0406303263735
