Comparison	Num.of.Individuals	Num.of.Markers	Type	accuracy	SD
Luhya vs Dai	10	100	T	1	0
Luhya vs Dai	20	10	T	1	0
Luhya vs Dai	20	20	T	1	0
Luhya vs Dai	20	30	T	1	0
Luhya vs Dai	20	40	T	1	0
Luhya vs Dai	20	50	T	1	0
Luhya vs Dai	20	60	T	1	0
Luhya vs Dai	20	70	T	1	0
Luhya vs Dai	20	80	T	1	0
Luhya vs Dai	20	90	T	1	0
Luhya vs Dai	20	100	T	1	0
Luhya vs Dai	30	10	T	1	0
Luhya vs Dai	30	20	T	1	0
Luhya vs Dai	30	30	T	1	0
Luhya vs Dai	30	40	T	1	0
Luhya vs Dai	30	50	T	1	0
Luhya vs Dai	30	60	T	1	0
Luhya vs Dai	30	70	T	1	0
Luhya vs Dai	30	80	T	1	0
Luhya vs Dai	30	90	T	1	0
Luhya vs Dai	30	100	T	1	0
Luhya vs Dai	40	10	T	1	0
Luhya vs Dai	40	20	T	1	0
Luhya vs Dai	40	30	T	1	0
Luhya vs Dai	40	40	T	1	0
Luhya vs Dai	40	50	T	1	0
Luhya vs Dai	40	60	T	1	0
Luhya vs Dai	40	70	T	1	0
Luhya vs Dai	40	80	T	1	0
Luhya vs Dai	40	90	T	1	0
Luhya vs Dai	40	100	T	1	0
Luhya vs Dai	50	10	T	1	0
Luhya vs Dai	50	20	T	1	0
Luhya vs Dai	50	30	T	1	0
Luhya vs Dai	50	40	T	1	0
Luhya vs Dai	50	50	T	1	0
Luhya vs Dai	50	60	T	1	0
Luhya vs Dai	50	70	T	1	0
Luhya vs Dai	50	80	T	1	0
Luhya vs Dai	50	90	T	1	0
Luhya vs Dai	50	100	T	1	0
Luhya vs Dai	10	10	R	0.8775	0.0938573946277851
Luhya vs Dai	10	20	R	0.9575	0.0674244216258393
Luhya vs Dai	10	30	R	0.985	0.028562028528874
Luhya vs Dai	10	40	R	0.995	0.0153896752812773
Luhya vs Dai	10	50	R	0.9975	0.011180339887499
Luhya vs Dai	10	60	R	1	0
Luhya vs Dai	10	70	R	1	0
Luhya vs Dai	10	80	R	1	0
Luhya vs Dai	10	90	R	1	0
Luhya vs Dai	10	100	R	1	0
Luhya vs Dai	20	10	R	0.89125	0.0722181454090022
Luhya vs Dai	20	20	R	0.9575	0.0459547832685908
Luhya vs Dai	20	30	R	0.98125	0.0302130592189606
Luhya vs Dai	20	40	R	0.995	0.0102597835208515
Luhya vs Dai	20	50	R	0.99875	0.00559016994374948
Luhya vs Dai	20	60	R	1	0
Luhya vs Dai	20	70	R	1	0
Luhya vs Dai	20	80	R	1	0
Luhya vs Dai	20	90	R	1	0
Luhya vs Dai	20	100	R	1	0
Luhya vs Dai	30	10	R	0.8875	0.0613862757772547
Luhya vs Dai	30	20	R	0.96	0.0391428632408267
Luhya vs Dai	30	30	R	0.985	0.022229530961845
Luhya vs Dai	30	40	R	0.995	0.00783603909969381
Luhya vs Dai	30	50	R	0.998333333333333	0.00512989176042579
Luhya vs Dai	30	60	R	0.999166666666667	0.00372677996249966
Luhya vs Dai	30	70	R	1	0
Luhya vs Dai	30	80	R	1	0
Luhya vs Dai	30	90	R	1	0
Luhya vs Dai	30	100	R	1	0
Luhya vs Dai	40	10	R	0.89375	0.0535729949645685
Luhya vs Dai	40	20	R	0.965625	0.0313813030993062
Luhya vs Dai	40	30	R	0.9875	0.0176776695296637
Luhya vs Dai	40	40	R	0.995625	0.00733928685765499
Luhya vs Dai	40	50	R	0.99875	0.00384741882031931
Luhya vs Dai	40	60	R	0.999375	0.00279508497187473
Luhya vs Dai	40	70	R	1	0
Luhya vs Dai	40	80	R	1	0
Luhya vs Dai	40	90	R	1	0
Luhya vs Dai	40	100	R	1	0
Luhya vs Dai	50	10	R	0.892	0.052575759873879
Luhya vs Dai	50	20	R	0.965	0.0308647303397805
Luhya vs Dai	50	30	R	0.989	0.0148323969741913
Luhya vs Dai	50	40	R	0.996	0.00680557047378721
Luhya vs Dai	50	50	R	0.999	0.00307793505625547
Luhya vs Dai	50	60	R	0.9995	0.00223606797749979
Luhya vs Dai	50	70	R	1	0
Luhya vs Dai	50	80	R	1	0
Luhya vs Dai	50	90	R	1	0
Luhya vs Dai	50	100	R	1	0
